    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
      5.90,      64.00002,       1.48713,     0.0000207,     0.0009907,     0.0006171,     0.0002308,     0.0000942,     0.0000350,     0.0000136
      6.00,      64.00002,       1.62993,     0.0000226,     0.0010023,     0.0006244,     0.0002335,     0.0000953,     0.0000354,     0.0000137
      6.10,      64.00002,       1.77897,     0.0000247,     0.0010151,     0.0006323,     0.0002365,     0.0000965,     0.0000358,     0.0000139
      6.20,      64.00002,       1.93424,     0.0000269,     0.0010287,     0.0006408,     0.0002397,     0.0000978,     0.0000363,     0.0000141
      6.30,      63.99947,       2.09578,     0.0000291,     0.0010423,     0.0006492,     0.0002428,     0.0000991,     0.0000368,     0.0000143
      6.40,      64.00002,       2.26358,     0.0000314,     0.0010566,     0.0006581,     0.0002462,     0.0001005,     0.0000373,     0.0000145
      6.50,      64.00002,       2.43766,     0.0000339,     0.0010730,     0.0006683,     0.0002500,     0.0001020,     0.0000379,     0.0000147
      6.60,      64.00002,       2.55202,     0.0000354,     0.0010837,     0.0006751,     0.0002525,     0.0001031,     0.0000383,     0.0000148
      6.70,      64.00002,       2.70301,     0.0000375,     0.0010975,     0.0006836,     0.0002557,     0.0001044,     0.0000387,     0.0000150
      6.80,      64.00002,       2.88528,     0.0000401,     0.0011130,     0.0006933,     0.0002593,     0.0001059,     0.0000393,     0.0000152
      6.90,      64.00002,       3.09341,     0.0000430,     0.0011296,     0.0007037,     0.0002632,     0.0001074,     0.0000399,     0.0000155
      7.00,      64.00002,       3.32204,     0.0000461,     0.0011465,     0.0007142,     0.0002671,     0.0001090,     0.0000405,     0.0000157
      7.10,      64.00002,       3.56595,     0.0000495,     0.0011632,     0.0007245,     0.0002710,     0.0001106,     0.0000411,     0.0000159
      7.20,      64.00002,       3.82025,     0.0000531,     0.0011792,     0.0007345,     0.0002747,     0.0001121,     0.0000416,     0.0000162
      7.30,      64.00002,       4.08053,     0.0000567,     0.0011943,     0.0007439,     0.0002783,     0.0001136,     0.0000422,     0.0000164
      7.40,      64.00031,       4.34304,     0.0000603,     0.0012084,     0.0007527,     0.0002816,     0.0001149,     0.0000427,     0.0000166
      7.50,      63.99974,       4.60479,     0.0000640,     0.0012215,     0.0007609,     0.0002846,     0.0001162,     0.0000431,     0.0000167
      7.60,      64.00031,       4.86360,     0.0000675,     0.0012336,     0.0007684,     0.0002874,     0.0001173,     0.0000435,     0.0000169
      7.70,      63.99974,       5.11816,     0.0000711,     0.0012447,     0.0007754,     0.0002900,     0.0001184,     0.0000439,     0.0000171
      7.80,      64.00031,       5.36799,     0.0000746,     0.0012551,     0.0007818,     0.0002924,     0.0001194,     0.0000443,     0.0000172
      7.90,      63.99974,       5.61336,     0.0000780,     0.0012648,     0.0007879,     0.0002947,     0.0001203,     0.0000446,     0.0000173
      8.00,      64.00031,       5.85523,     0.0000813,     0.0012741,     0.0007936,     0.0002969,     0.0001212,     0.0000450,     0.0000175
      8.10,      63.99974,       6.09512,     0.0000847,     0.0012829,     0.0007991,     0.0002989,     0.0001220,     0.0000453,     0.0000176
      8.20,      63.99974,       6.33498,     0.0000880,     0.0012916,     0.0008045,     0.0003009,     0.0001228,     0.0000456,     0.0000177
      8.30,      64.00031,       6.57706,     0.0000913,     0.0013001,     0.0008099,     0.0003029,     0.0001236,     0.0000459,     0.0000178
      8.40,      63.99974,       6.82379,     0.0000948,     0.0013087,     0.0008152,     0.0003049,     0.0001245,     0.0000462,     0.0000179
      8.50,      64.00031,       7.07766,     0.0000983,     0.0013174,     0.0008206,     0.0003069,     0.0001253,     0.0000465,     0.0000180
      8.60,      63.99974,       7.34111,     0.0001020,     0.0013262,     0.0008261,     0.0003090,     0.0001261,     0.0000468,     0.0000182
      8.70,      64.00031,       7.61639,     0.0001058,     0.0013351,     0.0008316,     0.0003111,     0.0001270,     0.0000471,     0.0000183
      8.80,      63.99974,       7.90554,     0.0001098,     0.0013442,     0.0008373,     0.0003132,     0.0001278,     0.0000475,     0.0000184
      8.90,      64.00031,       8.21031,     0.0001140,     0.0013535,     0.0008431,     0.0003154,     0.0001287,     0.0000478,     0.0000185
      9.00,      63.99974,       8.53207,     0.0001185,     0.0013629,     0.0008490,     0.0003176,     0.0001296,     0.0000481,     0.0000187
